Customer Name,Plant,Target Quantity,Distance,Freight Rate,Amount
T VENUGOPAL - BEERAMGUDA,SLKPY, 35 ,28.02,100," 3,500.00 "
HARILEKHA CONSTRUCTIONS - MOULALI,RSDSH, 60 ,70.26,2.5," 10,539.00 "
V MADHAVA RAO - GOURELLI,RSDSH, 30 ,23.004,100," 3,000.00 "
CYMA LIFE SCIENCES PVT LTD - PASHAMYLARAM,LKDRM2, 30 ,32.766,100," 3,000.00 "
VINAYAKA DEVELOPERS - BEERAMGUDA,SLKPY, 30 ,30.76,100," 3,000.00 "
VINAYAKA DEVELOPERS - BEERAMGUDA,SLKPY, 30 ,30.76,100," 3,000.00 "
MUPPA PROJECTS INDIA PRIVATE LIMITED - MUPPAS MELODY OSMAN NAGAR,GIR, 25 ,96.38,2.9," 6,987.55 "
MUPPA PROJECTS INDIA PRIVATE LIMITED - MUPPAS MELODY OSMAN NAGAR,LKDRM2, 200 ,55.692,2.5," 27,846.00 "
APARNA CONSTRUCTIONS AND ESTATES PRIVATE LIMITED - GUNDLAPOCHAMPALLY,GIR II, 500 ,26.338,2.9," 38,190.10 "
MAKUTA DEVELOPERS AND INFRASTRUCTURES PRIVATE LIMITED - GOWDAVELLI,GIR, 150 ,17.78,2.9," 7,734.30 "
MAKUTA DEVELOPERS AND INFRASTRUCTURES PRIVATE LIMITED - GOWDAVELLI,GIR II, 100 ,18.056,2.9," 5,236.24 "
IRA BLOSSOM FIELDS - KOLLURU,LKDRM2, 200 ,52.458,2.5," 26,229.00 "
SIDDHI CONSTRUCTIONS - KAPRA,KSR4, 100 ,46,2.5," 11,500.00 "
RAJASHEKHAR REDDY - HASTHINAPURAM,RSDSH, 60 ,56.47,2.5," 8,470.50 "
SHAHJAHAN SHAHZADI KHAN - BANJARAHILLS,GIR, 30 ,85.12,2.9," 7,405.44 "
VAJRA BUILDERS AND DEVELOPERS - BOWRAMPET,GIR, 100 ,30.268,2.9," 8,777.72 "
VAJRA BUILDERS AND DEVELOPERS - BOWRAMPET,GIR, 100 ,30.268,2.9," 8,777.72 "
VAJRA BUILDERS AND DEVELOPERS - BOWRAMPET,GIR, 100 ,30.268,2.9," 8,777.72 "
SAI KRISHNA CONSTRUCTIONS - KOMPALLY,GIR, 100 ,42.226,2.9," 12,245.54 "
NIDHI PROPERTIES - YAPRAL,KSR4, 60 ,30,2.5," 4,500.00 "
GAYATHRI CONSTRUCTIONS - YAPRAL,KSR4, 60 ,30,2.5," 4,500.00 "
GAYATHRI CONSTRUCTIONS - YAPRAL,KSR4, 30 ,66.84,2.5," 5,013.00 "
LANSUM PROPERTIES LLP - NARSINGI,SLKPY," 2,000 ",78.89,2.5," 394,450.00 "
LANSUM PROPERTIES LLP - NARSINGI,LKDRM2," 3,000 ",82.352,2.5," 617,640.00 "
LANSUM PROPERTIES LLP - NARSINGI,LKDRM2," 1,500 ",82.352,2.5," 308,820.00 "
LANSUM PROPERTIES LLP - NARSINGI,LKDRM2," 1,000 ",82.352,2.5," 205,880.00 "
VASAVI PDL VENTURES PRIVATE LIMITED - KPHB,GIR, 200 ,72.126,2.9," 41,833.08 "
SHAPOORJI PALLONJI AND COMPANY PRIVATE LIMITED - KANDI,GIR, 400 ,107.882,2.9," 125,143.12 "
ANUHAR HOMES PVT LTD - (ANUHAR TOWER) - ALKAPURI,SLKPY, 50 ,77.7,2.5," 9,712.50 "
ANUHAR HOMES PVT LTD - (ANUHAR TOWER) - ALKAPURI,LKDRM2, 50 ,81.428,2.5," 10,178.50 "
ANUHAR HOMES PVT LTD - (ANUHAR TOWER) - ALKAPURI,LKDRM2, 50 ,83.36,2.5," 10,420.00 "
FORTUNE GREEN HOMES -  TELLAPUR,LKDRM2, 800 ,59.058,2.5," 118,116.00 "
FORTUNE GREEN HOMES -  TELLAPUR,LKDRM2, 50 ,59.058,2.5," 7,382.25 "
FORTUNE GREEN HOMES -  TELLAPUR,LKDRM2, 50 ,59.058,2.5," 7,382.25 "
SRINIVASA CONSTRUCTIONS - GANDIPET,LKDRM2, 30 ,71.478,2.5," 5,360.85 "
SRINIVASA CONSTRUCTIONS - GANDIPET,SLKPY, 30 ,76.24,2.5," 5,718.00 "
GOTHIC LIVING SPACES - BACHUPALLI,GIR, 600 ,48.416,2.9," 84,243.84 "
APURUPA DECO LLP - KOMPALLY,GIR, 26 ,28.1,2.9," 2,118.74 "
STANCH PROJECTS PRIVATE LIMITED - NARSING,GIR, 50 ,92.126,2.9," 13,358.27 "
STANCH PROJECTS PRIVATE LIMITED -  NARSING,GIR, 75 ,92.126,2.9," 20,037.41 "
STANCH PROJECTS PRIVATE LIMITED -  NARSING,GIR, 50 ,92.126,2.9," 13,358.27 "
FORTUNE HOMES BUILDERS AND DEVELOPERS - JEEDIMETLA,GIR II, 25 ,42.604,2.9," 3,088.79 "
SITA SHELTERS PRIVATE LIMITED - KUNDANBAGH,GIR, 60 ,64.64,2.9," 11,247.36 "
SITA SHELTERS PRIVATE LIMITED - KUNDANBAGH,GIR, 30 ,64.64,2.9," 5,623.68 "
MENGA SATYANARAYANA -HAYATHNAGAR,RSDSH, 60 ,38.37,100," 6,000.00 "
SWETHANK BUILDERS - ALWAL,GIR, 150 ,39.41,2.9," 17,143.35 "
SWETHANK BUILDERS - ALWAL,GIR, 150 ,39.41,2.9," 17,143.35 "
DR.PADMASREE DREAM PROJECTS PRIVATE LIMITED - YAPRAL,KSR4, 90 ,66,2.5," 14,850.00 "
DR.PADMASREE DREAM PROJECTS PRIVATE LIMITED - YAPRAL,KSR4, 30 ,81.746,2.5," 6,130.95 "
